1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
64858.86018,65620.55448,65780.88594,65286.32674,65553.45977,64354.70901,64240.13922,63799.32197,63988.53993,64008.44959,63799.76706,64105.99794,63053.20808,63486.30812,62492.93497,62309.23307
62008.62058,62938.02663,63211.77977,63592.32754,63990.36454,64780.5182,65593.88201,66546.01204,67445.33048,68473.78799,68131.30308,62013.28571,67374.69889,67515.29779,68248.96507,68206.85364
66577.12447,66688.71919,66927.0403,67581.06919,67911.0365,67977.54595,67806.03304,68083.45228,67314.03038,68107.02314,67858.5105,67459.6519,65602.99342,64240.26406,62387.04613,61106.56628
61146.5279,61628.12475,61688.69508,62580.46172,62580.46172,62894.9364,65624.47242,65839.67386,66735.12527,67356.8329,68468.8818,69041.05613,70029.72207,71074.68768,72454.21932,73636.51259
73573.15761,75075.94121,75020.24258,75490.10585,73573.9483,73065.7803,72482.87851,73269.88954,73388.27073,73732.78601,74059.30207,73582.68399,73890.2764,73597.49781,73965.4853,72919.90665
73067.42306,73065.26561,72284.16635,72658.64082,71863.6803,71539.6776,71195.10307,70387.93172,70178.05155,69544.99594,69426.06282,68490.9768,66952.08957,66719.46829,66093.80517,66093.80517
66424.2742,66548.40812,65648.57816,65479.01454,65591.91948,65794.22365,65695.10714,64903.34656,65212.72127,64467.84752,65089.68119,64234.03046,64342.54961,63709.61785,63169.2597,63026.13959
63342.85386,63771.67811,63881.94361,63872.1185,65099.31847,65321.32507,66592.99263,66969.74426,68966.31926,69146.00732,69779.30337,69627.47435,70955.27408,70878.025,71507.23066,71165.84861
70445.26633,70578.82482,72064.61857,72064.61857,71732.56012,72388.46178,73104.34401,72625.05307,72942.75014,72349.85345,73001.54355,72318.20842,70651.25475,69235.33848,67762.45002,65423.40076
64214.85712,65147.64958,65725.48737,65699.15454,66164.63581,66977.43414,67840.39191,68424.75219,68420.51496,68995.37494,68341.61898,69219.1309,69896.96048,70468.26623,71204.04212,71587.40673
72788.45486,74753.83099,75266.69642,74636.20029,68348.51589,72892.88156,72783.21318,73969.04056,73201.1899,74344.34294,74165.44938,74600.57413,75283.43419,75260.85855,75570.35732,74183.31777
74547.72236,73529.02847,74210.10315,73087.35635,73836.4035,73978.31359,73041.64959,71900.94765,71383.04791,71268.44994,71305.40515,70628.46604,69218.3873,68087.40563,68355.81861,67699.57693
66757.72622,67304.06526,68061.93316,66868.2503,67287.05592,67218.43485,66229.11387,65749.37777,65597.80212,65995.88302,65664.05348,65396.11773,65783.94318,65181.57577,65336.91995,64688.257
64896.14575,65450.22465,65300.15042,65736.51969,65694.11131,66209.69201,67735.62379,68863.97254,69799.67248,70064.94203,70136.35131,70488.58946,70445.54823,70824.1175,70963.51422,72327.30441
71442.70031,71134.98381,72444.75276,72998.28486,72092.34972,72768.0813,71876.51665,72598.89371,72087.70041,72268.50887,72069.00906,70906.57343,68574.74914,67663.87854,65592.7844,63296.76219
63567.38173,64191.70749,64133.84656,65829.07497,65915.90664,67328.13036,67252.98702,67531.20546,67870.55825,67581.04697,68756.82911,69271.04821,69884.16982,70146.33304,71063.68678,72172.01847
72773.48008,73261.55007,73880.3016,74533.28064,73585.57529,72363.20283,72199.05808,72972.47534,73808.18579,73680.49971,73614.87232,74461.54955,73970.20773,73758.39301,73635.2018,71818.15323
